trial,formula,used_features,f1_macro,metric
0,baseline_dataset,,0.5008,0.5008
1,(test_3 * frequent),test_3|frequent,0.5002,0.5002
2,(freq(subscription_type) * renewal_pressure),subscription_type|renewal_pressure,0.4996,0.4996
3,(freq(gender) - test_2),gender|test_2,0.5008,0.5008
4,(freq(subscription_type) * interaction_per_freq),subscription_type|interaction_per_freq,0.4991,0.4991
5,(freq(gender) + older_low_contract),gender|older_low_contract,0.5008,0.5008
6,(freq(gender) / after_interaction),gender|after_interaction,0.4962,0.4962
7,((log(age) - usage_cluster) * gender_age_group),age|interaction_per_freq|usage_cluster|gender_age_group,0.4965,0.4965
8,((((interaction_rate + payment_per_freq) / is_high_interaction) + freq_per_tenure) - test_3),interaction_rate|payment_per_freq|is_high_interaction|freq_per_tenure|test_3,0.4990,0.4990
9,(freq(subscription_type) - contract_length),subscription_type|contract_length,0.5006,0.5006
10,sqrt(test_1),test_1|renewal_pressure,0.5008,0.5008
11,(freq(gender) - is_older_group),gender|is_older_group,0.4984,0.4984
13,(freq(gender) / vip_low_interaction),gender|vip_low_interaction,0.5008,0.5008
14,log(log(((after_interaction - freq_per_tenure))^2)),after_interaction|freq_per_tenure|test_1|is_high_interaction|renewal_pressure,0.4998,0.4998
15,(freq(gender) + test_2),gender|test_2,0.5008,0.5008
16,(freq(subscription_type) - test_1),subscription_type|test_1,0.5005,0.5005
17,sqrt((test_2 / older_low_contract)),test_2|older_low_contract|tenure,0.5008,0.5008
18,(freq(gender) - freq_per_tenure),gender|freq_per_tenure,0.4983,0.4983
19,(freq(gender) + tenure),gender|tenure,0.5001,0.5001
20,log((interaction_rate)^2),interaction_rate|is_older_group|contract_ratio,0.5008,0.5008
23,(freq(gender) + gender_age_group),gender|gender_age_group,0.5008,0.5008
24,(freq(gender) * payment_interval),gender|payment_interval,0.5008,0.5008
25,(freq(gender) / usage_cluster),gender|usage_cluster,0.4985,0.4985
26,(freq(subscription_type) - interaction_rate),subscription_type|interaction_rate,0.4987,0.4987
27,(freq(gender) + test_3),gender|test_3,0.4977,0.4977
28,(freq(gender) + frequent),gender|frequent,0.4991,0.4991
29,(((is_high_interaction * tenure) * new_inactive) / contract_ratio),is_high_interaction|tenure|new_inactive|contract_ratio,0.5008,0.5008
30,(sqrt(((freq_per_tenure - renewal_pressure) + new_inactive)) + frequent),freq_per_tenure|renewal_pressure|new_inactive|usage_cluster|frequent,0.4993,0.4993
31,sqrt(payment_interval),payment_interval|gender_age_group,0.5008,0.5008
32,sqrt(renewal_pressure),renewal_pressure|vip_low_interaction,0.5008,0.5008
33,(sqrt(frequent) * payment_per_freq),frequent|freq_per_tenure|payment_per_freq,0.5005,0.5005
34,(test_2 + test_3),test_2|test_3,0.4987,0.4987
35,(((interaction_per_freq)^2)^2)^2,interaction_per_freq|tenure|gender_age_group|older_low_contract,0.5008,0.5008
36,sqrt(log(freq_per_tenure)),freq_per_tenure|is_high_interaction|age,0.5008,0.5008
37,(freq(subscription_type) - contract_ratio),subscription_type|contract_ratio,0.4987,0.4987
38,(freq(gender) / payment_per_freq),gender|payment_per_freq,0.4984,0.4984
39,(interaction_per_freq / test_3),interaction_per_freq|test_3,0.4998,0.4998
40,(freq(gender) * is_high_interaction),gender|is_high_interaction,0.4996,0.4996
42,(freq(gender) / new_inactive),gender|new_inactive,0.5008,0.5008
44,(freq(gender) / age),gender|age,0.5002,0.5002
45,(freq(gender) + vip_low_interaction),gender|vip_low_interaction,0.4968,0.4968
47,(freq(gender) - older_low_contract),gender|older_low_contract,0.5008,0.5008
48,(sqrt(payment_interval) + contract_length),payment_interval|interaction_rate|contract_length,0.4996,0.4996
49,(freq(subscription_type) / interaction_per_freq),subscription_type|interaction_per_freq,0.4994,0.4994
50,(freq(gender) * test_2),gender|test_2,0.5008,0.5008
53,(freq(gender) + after_interaction),gender|after_interaction,0.4973,0.4973
54,(freq(gender) + contract_length),gender|contract_length,0.4963,0.4963
56,(freq(subscription_type) - test_2),subscription_type|test_2,0.4999,0.4999
57,(freq(gender) + test_1),gender|test_1,0.4962,0.4962
58,((sqrt(renewal_pressure) - gender_age_group) - new_inactive),renewal_pressure|age|gender_age_group|new_inactive,0.4998,0.4998
59,(freq(gender) / freq_per_tenure),gender|freq_per_tenure,0.5003,0.5003
60,(freq(gender) - tenure),gender|tenure,0.4996,0.4996
61,sqrt((tenure / payment_interval)),tenure|payment_interval|is_older_group,0.4981,0.4981
62,(test_3 / is_older_group),test_3|is_older_group,0.4978,0.4978
63,sqrt((usage_cluster / frequent)),usage_cluster|frequent|test_2,0.5005,0.5005
