trial,features,formula,f1_class0,f1_class1,f1_class2,f1_macro
0,renewal_pressure;older_and_member;short_tenure_high_interval;interaction_rate,(((renewal_pressure * older_and_member))^2 + interaction_rate),0.6257247662998462,0.09183673469387756,0.0941541645111226,0.27057188850161545
1,payment_freq_alignment;short_tenure_high_interval;freq_per_tenure;is_low_frequency;interaction_rate,(sqrt(((payment_freq_alignment - short_tenure_high_interval) * freq_per_tenure)) * interaction_rate),0.6243240133471407,0.023863636363636365,0.07923930269413629,0.24247565080163777
2,gender;subscription_code,(freq(gender) + subscription_code),0.633303808680248,0.0,0.0,0.21110126956008268
3,new_inactive;is_low_frequency;is_high_payment_interval;is_older_group,((log(new_inactive) + is_high_payment_interval) / is_older_group),0.6287962621418911,0.0,0.274294670846395,0.3010303109960954
4,gender;vip_inactive,(freq(gender) * vip_inactive),0.633303808680248,0.0,0.0,0.21110126956008268
5,subscription_type;payment_freq_alignment,(freq(subscription_type) - payment_freq_alignment),0.633303808680248,0.0,0.0,0.21110126956008268
6,subscription_code;interaction_rate;tenure;is_high_interaction,(log((subscription_code / interaction_rate)))^2,0.6190859905606078,0.05495689655172414,0.04997223764575236,0.2413383749193614
7,new_inactive;is_low_frequency;usage_cluster;older_low_contract,(((new_inactive - is_low_frequency))^2 / older_low_contract),0.6347345880761862,0.0,0.0739514348785872,0.2362286743182578
8,short_tenure_high_interval;is_high_interaction;vip_low_interaction,((short_tenure_high_interval)^2 + vip_low_interaction),0.633303808680248,0.0,0.0,0.21110126956008268
9,payment_per_freq;payment_freq_alignment,(payment_per_freq)^2,0.6228687254083701,0.016045845272206302,0.1763110307414105,0.27174186714066234
10,subscription_type;gender_age_group,(freq(subscription_type) / gender_age_group),0.633303808680248,0.0,0.0,0.21110126956008268
11,payment_freq_alignment;interaction_rate;contract_length;is_low_frequency;is_older_group,((log((payment_freq_alignment / interaction_rate)))^2)^2,0.6258919469928644,0.03707865168539326,0.023054755043227664,0.22867511790716177
12,subscription_code;after_interaction;interaction_rate,((subscription_code * after_interaction))^2,0.633303808680248,0.0,0.0,0.21110126956008268
13,usage_cluster;vip_low_interaction;subscription_code;older_low_contract,((sqrt(usage_cluster) / subscription_code) + older_low_contract),0.6334519572953736,0.0,0.13576494427558258,0.2564056338569854
14,gender_age_group;usage_cluster;new_inactive;interaction_per_freq,log(((gender_age_group / usage_cluster) - new_inactive)),0.6337467821202902,0.0,0.1916783543712015,0.2751417121638306
15,is_long_contract;interaction_per_freq;after_interaction,sqrt((is_long_contract * interaction_per_freq)),0.6340057636887608,0.019664545980335454,0.3716873532371687,0.34178588763542167
16,is_long_contract;interaction_per_freq;subscription_code;age;is_older_group,sqrt((log((is_long_contract + interaction_per_freq)) * age)),0.6245196479484318,0.0886141164348274,0.21147260273972604,0.3082021223743284
17,is_older_group;is_low_frequency;older_low_contract;payment_freq_alignment;age,sqrt((((is_older_group + is_low_frequency))^2 * payment_freq_alignment)),0.633303808680248,0.0,0.0,0.21110126956008268
18,subscription_type;is_high_interaction,(freq(subscription_type) / is_high_interaction),0.633303808680248,0.0,0.0,0.21110126956008268
19,payment_per_freq;tenure;is_low_frequency;after_interaction;new_inactive,sqrt((log((payment_per_freq + tenure)) - after_interaction)),0.6281686938729112,0.024179620034542316,0.051933701657458566,0.2347606718549707
20,subscription_code;is_high_payment_interval;payment_interval;new_inactive;vip_low_interaction,((((subscription_code + is_high_payment_interval) - payment_interval) * new_inactive) / vip_low_interaction),0.6334701120106465,0.0,0.008393285371702638,0.21395446579411637
21,interaction_rate;age;new_inactive;freq_per_tenure,(log((interaction_rate / age)) + freq_per_tenure),0.6290721186250281,0.01989467524868344,0.02192729371032891,0.2236313625280135
22,vip_low_interaction;tenure;vip_inactive;subscription_code,(log((vip_low_interaction * tenure)))^2,0.6331078833573567,0.008373205741626795,0.0,0.21382702969966116
23,contract_ratio;is_high_payment_interval,sqrt(contract_ratio),0.641658961828028,0.0,0.40333975594091204,0.34833290592298
24,is_high_interaction;short_tenure_high_interval;subscription_code,log(log(is_high_interaction)),0.633303808680248,0.0,0.0,0.21110126956008268
25,is_long_contract;older_low_contract;freq_per_tenure;is_high_interaction;is_high_payment_interval,log((sqrt((is_long_contract + older_low_contract)))^2),0.6367279585101367,0.0,0.2044525215810995,0.2803934933637454
26,gender;interaction_per_freq,(freq(gender) * interaction_per_freq),0.6227572635721728,0.04405286343612335,0.07834833245103229,0.24838615315310944
27,gender_age_group;new_inactive;usage_cluster;renewal_pressure,(((gender_age_group * new_inactive) / usage_cluster) * renewal_pressure),0.6312861593235425,0.004753416518122401,0.005977286312014346,0.21400562071789309
28,vip_low_interaction;older_low_contract;payment_freq_alignment;short_tenure_high_interval,(((vip_low_interaction / older_low_contract) * payment_freq_alignment) + short_tenure_high_interval),0.6289513589175317,0.0,0.16382575757575757,0.2642590388310964
29,age;tenure;is_low_frequency;payment_freq_alignment;is_long_contract,((((age / tenure))^2 - payment_freq_alignment) + is_long_contract),0.6228699024562229,0.05417118093174431,0.1126194067370538,0.26322016337500703
30,renewal_pressure;older_and_member;tenure,log((renewal_pressure * older_and_member)),0.6310599835661462,0.08341915550978372,0.08815719596388741,0.26754544501327243
31,vip_low_interaction;renewal_pressure;older_low_contract,log((vip_low_interaction * renewal_pressure)),0.6328257191201354,0.0332378223495702,0.04152249134948097,0.23586201093972883
32,payment_freq_alignment;is_long_contract;after_interaction,log((payment_freq_alignment * is_long_contract)),0.633303808680248,0.0,0.0,0.21110126956008268
33,is_high_payment_interval;vip_inactive,(is_high_payment_interval * vip_inactive),0.6262046810463515,0.0,0.10563737938039613,0.24394735347558258
34,subscription_type;short_tenure_high_interval,(freq(subscription_type) - short_tenure_high_interval),0.6291768541157294,0.0,0.15935114503816794,0.26284266638463244
35,older_and_member;payment_per_freq;is_high_interaction,log((older_and_member + payment_per_freq)),0.6203872853489222,0.06441048034934498,0.18513689700130379,0.289978220899857
36,is_older_group;frequent;vip_inactive,log((is_older_group + frequent)),0.633303808680248,0.0,0.0,0.21110126956008268
37,gender;interaction_rate,(freq(gender) + interaction_rate),0.6214975845410629,0.02631578947368421,0.19775474956822106,0.28185604119432267
38,age;new_inactive;is_older_group,((age - new_inactive))^2,0.6447368421052632,0.0,0.35526788924847175,0.333334910451245
39,is_long_contract;contract_length,(is_long_contract + contract_length),0.6409694469511409,0.0,0.366120218579235,0.3356965551767919
40,gender;older_low_contract,(freq(gender) + older_low_contract),0.6369656833232992,0.0,0.26134453781512607,0.2994367403794751
41,contract_ratio;payment_per_freq;new_inactive,log((contract_ratio + payment_per_freq)),0.634101138469685,0.0047875523638539795,0.38281500480923375,0.3405678985475909
42,interaction_rate;interaction_per_freq;contract_ratio;contract_length,log(log(log(interaction_rate))),0.6219105644326934,0.012918379330593071,0.08753861997940268,0.24078918791422974
43,is_low_frequency;short_tenure_high_interval;subscription_code;tenure,sqrt(log((is_low_frequency - short_tenure_high_interval))),0.633303808680248,0.0,0.0,0.21110126956008268
44,interaction_per_freq;older_and_member;payment_freq_alignment,((interaction_per_freq)^2 * payment_freq_alignment),0.6253968253968254,0.03372681281618887,0.02979942693409742,0.22964102171570389
45,frequent;contract_length;older_and_member;subscription_code,(log((frequent + contract_length)) + subscription_code),0.6382924335378323,0.004725339633786178,0.3431199151043509,0.32871256275865646
46,gender_age_group;interaction_per_freq;is_high_payment_interval,((gender_age_group * interaction_per_freq) + is_high_payment_interval),0.6193501978180075,0.05387575590984057,0.16758241758241757,0.2802694571034219
47,is_older_group;is_high_payment_interval;subscription_code;new_inactive,(log(sqrt(is_older_group)))^2,0.633303808680248,0.0,0.0,0.21110126956008268
48,contract_length;tenure;payment_per_freq;is_high_payment_interval,(((contract_length)^2)^2 * is_high_payment_interval),0.6238023197175996,0.0,0.3087540864511442,0.3108521353895813
