trial,formula,used_features,f1_macro,metric
0,baseline_dataset,,0.5049,0.5049
1,sqrt(contract_length),contract_length|payment_per_freq,0.5049,0.5049
2,((test_3 / new_inactive) * is_older_group),test_3|new_inactive|is_older_group,0.5041,0.5041
3,(freq_per_tenure * test_11),freq_per_tenure|test_11,0.5041,0.5041
4,(freq(subscription_type) - test_9),subscription_type|test_9,0.5016,0.5016
5,(freq(gender) + vip_low_interaction),gender|vip_low_interaction,0.4998,0.4998
6,(freq(gender) / freq_per_tenure),gender|freq_per_tenure,0.5022,0.5022
7,(((test_7 * freq_per_tenure) + older_low_contract) + contract_length),test_7|freq_per_tenure|older_low_contract|contract_length,0.5022,0.5022
8,(freq(gender) / older_low_contract),gender|older_low_contract,0.5049,0.5049
9,sqrt((((test_6 + interaction_rate) + is_high_interaction) * test_4)),test_6|interaction_rate|is_high_interaction|test_4|usage_cluster,0.5026,0.5026
10,(freq(subscription_type) * interaction_rate),subscription_type|interaction_rate,0.5014,0.5014
11,sqrt(interaction_per_freq),interaction_per_freq|usage_cluster,0.5049,0.5049
12,(sqrt(test_11) / after_interaction),test_11|age|after_interaction,0.5048,0.5048
13,(payment_per_freq)^2,payment_per_freq|older_low_contract,0.5049,0.5049
14,sqrt((log(age) - vip_low_interaction)),age|test_3|vip_low_interaction|older_low_contract,0.5009,0.5009
15,((new_inactive - interaction_per_freq))^2,new_inactive|interaction_per_freq|test_11,0.5013,0.5013
16,(log(sqrt(sqrt(test_1))) * new_inactive),test_1|frequent|payment_per_freq|after_interaction|new_inactive,0.5044,0.5044
17,(freq(subscription_type) + usage_cluster),subscription_type|usage_cluster,0.5001,0.5001
18,log(test_6),test_6|frequent,0.5049,0.5049
19,(log((test_12)^2) / test_7),test_12|renewal_pressure|gender_age_group|test_7,0.5049,0.5049
20,(freq(gender) * frequent),gender|frequent,0.5016,0.5016
22,(freq(gender) / test_6),gender|test_6,0.5049,0.5049
23,(freq(gender) - payment_interval),gender|payment_interval,0.4953,0.4953
24,(freq(subscription_type) / contract_ratio),subscription_type|contract_ratio,0.5012,0.5012
25,(freq(gender) / age),gender|age,0.5049,0.5049
26,(freq(gender) - gender_age_group),gender|gender_age_group,0.5049,0.5049
27,(freq(subscription_type) * older_low_contract),subscription_type|older_low_contract,0.5049,0.5049
