trial,formula,used_features,f1_macro,metric
0,baseline_dataset,,0.4984,0.4984
1,(((is_older_group + freq_per_tenure) * interaction_rate) * interaction_per_freq),is_older_group|freq_per_tenure|interaction_rate|interaction_per_freq,0.4962,0.4962
2,((age)^2 * usage_cluster),age|interaction_per_freq|usage_cluster,0.4972,0.4972
3,log(((vip_low_interaction)^2 - is_older_group)),vip_low_interaction|age|is_older_group|is_high_interaction,0.4984,0.4984
4,((sqrt(tenure))^2 * vip_low_interaction),tenure|payment_interval|gender_age_group|vip_low_interaction,0.4984,0.4984
5,(freq(subscription_type) * renewal_pressure),subscription_type|renewal_pressure,0.4972,0.4972
6,((age + vip_low_interaction))^2,age|vip_low_interaction|older_low_contract,0.4984,0.4984
7,(freq(gender) - payment_per_freq),gender|payment_per_freq,0.4921,0.4921
8,(freq(gender) - older_low_contract),gender|older_low_contract,0.4984,0.4984
9,sqrt((contract_ratio + after_interaction)),contract_ratio|after_interaction|payment_per_freq,0.4974,0.4974
10,(freq(subscription_type) / contract_length),subscription_type|contract_length,0.4984,0.4984
11,(log(((after_interaction)^2 - age)))^2,after_interaction|freq_per_tenure|age|payment_per_freq|frequent,0.4950,0.4950
12,(interaction_rate / freq_per_tenure),interaction_rate|freq_per_tenure,0.4964,0.4964
13,(log(((is_high_interaction * new_inactive) - vip_low_interaction)) / payment_interval),is_high_interaction|new_inactive|vip_low_interaction|contract_length|payment_interval,0.4984,0.4984
14,(freq(gender) + payment_interval),gender|payment_interval,0.4946,0.4946
15,log(interaction_rate),interaction_rate|after_interaction,0.4984,0.4984
16,(((tenure - is_older_group) / frequent) / age),tenure|is_older_group|frequent|age,0.4971,0.4971
17,(freq(subscription_type) * usage_cluster),subscription_type|usage_cluster,0.4966,0.4966
18,sqrt(sqrt(((vip_low_interaction)^2 + is_older_group))),vip_low_interaction|contract_length|is_older_group|contract_ratio|interaction_per_freq,0.4984,0.4984
19,(log(sqrt(older_low_contract)) + interaction_per_freq),older_low_contract|contract_length|age|interaction_per_freq,0.4965,0.4965
20,(freq(subscription_type) / interaction_per_freq),subscription_type|interaction_per_freq,0.4967,0.4967
21,((sqrt(interaction_rate))^2 * age),interaction_rate|is_older_group|renewal_pressure|age,0.4984,0.4984
22,((sqrt(tenure))^2 - contract_length),tenure|is_high_interaction|after_interaction|contract_length,0.4984,0.4984
23,((gender_age_group * is_older_group) - renewal_pressure),gender_age_group|is_older_group|renewal_pressure,0.4984,0.4984
24,((sqrt((older_low_contract / payment_per_freq)))^2 * gender_age_group),older_low_contract|payment_per_freq|usage_cluster|age|gender_age_group,0.4984,0.4984
25,(log(log(new_inactive)) * older_low_contract),new_inactive|contract_ratio|frequent|older_low_contract,0.4984,0.4984
26,((interaction_per_freq - is_older_group) + interaction_rate),interaction_per_freq|is_older_group|interaction_rate,0.4984,0.4984
27,(log(((usage_cluster)^2 / contract_length)) + after_interaction),usage_cluster|interaction_rate|contract_length|freq_per_tenure|after_interaction,0.4961,0.4961
28,((sqrt(contract_ratio))^2 + payment_per_freq),contract_ratio|frequent|interaction_rate|payment_per_freq,0.4978,0.4978
29,sqrt(gender_age_group),gender_age_group|frequent,0.4984,0.4984
30,(freq(gender) + tenure),gender|tenure,0.4963,0.4963
31,((gender_age_group + is_older_group))^2,gender_age_group|is_older_group|usage_cluster,0.4984,0.4984
32,((usage_cluster + is_high_interaction))^2,usage_cluster|is_high_interaction|older_low_contract,0.4984,0.4984
33,sqrt(((contract_length)^2 - is_older_group)),contract_length|tenure|is_older_group|payment_per_freq,0.4984,0.4984
34,((contract_ratio + freq_per_tenure))^2,contract_ratio|freq_per_tenure|frequent,0.4966,0.4966
35,(((vip_low_interaction - usage_cluster))^2 - age),vip_low_interaction|usage_cluster|renewal_pressure|age,0.4984,0.4984
36,((contract_length / freq_per_tenure) - payment_interval),contract_length|freq_per_tenure|payment_interval,0.4973,0.4973
37,(freq(subscription_type) - after_interaction),subscription_type|after_interaction,0.4951,0.4951
38,(after_interaction * freq_per_tenure),after_interaction|freq_per_tenure,0.4960,0.4960
39,(freq(gender) / gender_age_group),gender|gender_age_group,0.4984,0.4984
40,(((is_older_group + usage_cluster))^2)^2,is_older_group|usage_cluster|contract_ratio|contract_length,0.4984,0.4984
41,(freq(gender) - older_low_contract),gender|older_low_contract,0.4984,0.4984
42,(freq(gender) - age),gender|age,0.4957,0.4957
43,(freq(gender) - is_older_group),gender|is_older_group,0.4946,0.4946
44,(freq(gender) * freq_per_tenure),gender|freq_per_tenure,0.4964,0.4964
45,(freq(gender) + older_low_contract),gender|older_low_contract,0.4984,0.4984
46,(freq(gender) - interaction_rate),gender|interaction_rate,0.4939,0.4939
47,((sqrt(age) * older_low_contract) * payment_interval),age|freq_per_tenure|older_low_contract|payment_interval,0.4984,0.4984
48,(freq(subscription_type) - new_inactive),subscription_type|new_inactive,0.4949,0.4949
49,((is_high_interaction)^2 / contract_length),is_high_interaction|vip_low_interaction|contract_length,0.4984,0.4984
50,sqrt(log(interaction_rate)),interaction_rate|gender_age_group|age,0.4984,0.4984
51,(freq(subscription_type) / contract_length),subscription_type|contract_length,0.4984,0.4984
52,(freq(subscription_type) / frequent),subscription_type|frequent,0.4967,0.4967
53,(freq(subscription_type) / contract_ratio),subscription_type|contract_ratio,0.4973,0.4973
54,(freq(subscription_type) / is_high_interaction),subscription_type|is_high_interaction,0.4984,0.4984
55,(freq(subscription_type) / vip_low_interaction),subscription_type|vip_low_interaction,0.4984,0.4984
56,((log((contract_length + usage_cluster)) / gender_age_group) - new_inactive),contract_length|usage_cluster|interaction_rate|gender_age_group|new_inactive,0.4984,0.4984
57,(freq(subscription_type) + older_low_contract),subscription_type|older_low_contract,0.4953,0.4953
58,log(((age)^2 + gender_age_group)),age|interaction_per_freq|gender_age_group|tenure,0.4963,0.4963
59,(interaction_per_freq + new_inactive),interaction_per_freq|new_inactive,0.4978,0.4978
60,log((((payment_interval)^2 * is_high_interaction) * contract_length)),payment_interval|is_older_group|is_high_interaction|contract_length|vip_low_interaction,0.4984,0.4984
61,(log(((gender_age_group * new_inactive) - renewal_pressure)) / vip_low_interaction),gender_age_group|new_inactive|renewal_pressure|older_low_contract|vip_low_interaction,0.4984,0.4984
62,(log(((after_interaction * tenure) - usage_cluster)) / payment_per_freq),after_interaction|tenure|usage_cluster|freq_per_tenure|payment_per_freq,0.4957,0.4957
63,(log(((freq_per_tenure * contract_ratio) - new_inactive)) / gender_age_group),freq_per_tenure|contract_ratio|new_inactive|older_low_contract|gender_age_group,0.4984,0.4984
64,((vip_low_interaction * frequent) - new_inactive),vip_low_interaction|frequent|new_inactive,0.4984,0.4984
65,log(((freq_per_tenure / vip_low_interaction) - is_older_group)),freq_per_tenure|vip_low_interaction|is_older_group|is_high_interaction,0.4967,0.4967
66,log((sqrt(vip_low_interaction))^2),vip_low_interaction|renewal_pressure|gender_age_group|payment_per_freq,0.4984,0.4984
67,(((log(payment_interval) * tenure) + contract_length) * interaction_per_freq),payment_interval|new_inactive|tenure|contract_length|interaction_per_freq,0.4947,0.4947
68,(freq(gender) * contract_length),gender|contract_length,0.4984,0.4984
69,(sqrt((age - gender_age_group)) - interaction_per_freq),age|gender_age_group|payment_interval|interaction_per_freq,0.4984,0.4984
70,((vip_low_interaction * tenure) - after_interaction),vip_low_interaction|tenure|after_interaction,0.4984,0.4984
71,log(is_high_interaction),is_high_interaction|age,0.4984,0.4984
72,log(interaction_per_freq),interaction_per_freq|age,0.4984,0.4984
73,log(usage_cluster),usage_cluster|contract_length,0.4984,0.4984
74,sqrt(payment_per_freq),payment_per_freq|payment_interval,0.4984,0.4984
75,(((vip_low_interaction)^2)^2)^2,vip_low_interaction|is_older_group|usage_cluster|payment_interval,0.4984,0.4984
76,(freq(subscription_type) / contract_length),subscription_type|contract_length,0.4984,0.4984
77,(log(renewal_pressure) / usage_cluster),renewal_pressure|age|usage_cluster,0.4974,0.4974
78,(((sqrt(is_older_group) + interaction_rate) * contract_ratio) + frequent),is_older_group|interaction_per_freq|interaction_rate|contract_ratio|frequent,0.4965,0.4965
79,(freq(gender) - vip_low_interaction),gender|vip_low_interaction,0.4978,0.4978
80,sqrt(log((age + contract_ratio))),age|contract_ratio|interaction_per_freq|payment_interval,0.4984,0.4984
81,sqrt(sqrt(((age)^2 + frequent))),age|tenure|frequent|vip_low_interaction|gender_age_group,0.4969,0.4969
82,sqrt(sqrt(((is_older_group)^2 + interaction_per_freq))),is_older_group|contract_length|interaction_per_freq|freq_per_tenure|is_high_interaction,0.4977,0.4977
83,sqrt(sqrt(((after_interaction)^2 + is_older_group))),after_interaction|gender_age_group|is_older_group|freq_per_tenure|vip_low_interaction,0.4956,0.4956
84,((((interaction_per_freq / older_low_contract))^2 / payment_per_freq))^2,interaction_per_freq|older_low_contract|usage_cluster|payment_per_freq|tenure,0.4984,0.4984
85,(freq(gender) - new_inactive),gender|new_inactive,0.4970,0.4970
86,log(((age - vip_low_interaction) - is_older_group)),age|vip_low_interaction|is_older_group|interaction_per_freq,0.4984,0.4984
87,(((age)^2 + gender_age_group) * usage_cluster),age|payment_interval|gender_age_group|usage_cluster,0.4972,0.4972
88,(freq(subscription_type) / interaction_rate),subscription_type|interaction_rate,0.4954,0.4954
89,(sqrt(payment_interval))^2,payment_interval|older_low_contract|is_older_group,0.4984,0.4984
90,(freq(subscription_type) * renewal_pressure),subscription_type|renewal_pressure,0.4972,0.4972
91,((sqrt(payment_per_freq))^2 * frequent),payment_per_freq|tenure|age|frequent,0.4984,0.4984
92,((sqrt(new_inactive))^2 * age),new_inactive|is_high_interaction|older_low_contract|age,0.4984,0.4984
93,((sqrt(contract_ratio))^2 * after_interaction),contract_ratio|contract_length|renewal_pressure|after_interaction,0.4973,0.4973
94,(sqrt((payment_interval + contract_length)) * age),payment_interval|contract_length|tenure|age,0.4984,0.4984
95,((((contract_ratio)^2)^2 + interaction_per_freq) - payment_interval),contract_ratio|older_low_contract|gender_age_group|interaction_per_freq|payment_interval,0.4962,0.4962
96,((contract_ratio * tenure) / payment_interval),contract_ratio|tenure|payment_interval,0.4963,0.4963
97,log(sqrt((sqrt(new_inactive) - is_high_interaction))),new_inactive|older_low_contract|is_high_interaction|vip_low_interaction|payment_per_freq,0.4976,0.4976
98,(freq(gender) + payment_interval),gender|payment_interval,0.4946,0.4946
99,log(log((is_high_interaction + after_interaction))),is_high_interaction|after_interaction|usage_cluster|tenure,0.4984,0.4984
100,log(after_interaction),after_interaction|is_high_interaction,0.4984,0.4984
101,((sqrt(interaction_rate))^2 - vip_low_interaction),interaction_rate|gender_age_group|is_high_interaction|vip_low_interaction,0.4960,0.4960
102,((sqrt(gender_age_group))^2 - new_inactive),gender_age_group|usage_cluster|is_older_group|new_inactive,0.4965,0.4965
103,((sqrt(older_low_contract))^2 - after_interaction),older_low_contract|payment_interval|renewal_pressure|after_interaction,0.4952,0.4952
104,((freq_per_tenure)^2)^2,freq_per_tenure|gender_age_group|interaction_per_freq,0.4984,0.4984
105,(((freq_per_tenure / vip_low_interaction) * older_low_contract) / renewal_pressure),freq_per_tenure|vip_low_interaction|older_low_contract|renewal_pressure,0.4984,0.4984
106,(freq(subscription_type) * payment_per_freq),subscription_type|payment_per_freq,0.4974,0.4974
107,(((renewal_pressure * usage_cluster) - contract_length))^2,renewal_pressure|usage_cluster|contract_length|contract_ratio,0.4984,0.4984
108,((((contract_ratio - contract_length))^2 - is_older_group) / is_high_interaction),contract_ratio|contract_length|tenure|is_older_group|is_high_interaction,0.4984,0.4984
109,(freq(gender) - frequent),gender|frequent,0.4984,0.4984
110,((sqrt(freq_per_tenure))^2 * is_older_group),freq_per_tenure|interaction_rate|older_low_contract|is_older_group,0.4971,0.4971
111,((gender_age_group * payment_per_freq) - freq_per_tenure),gender_age_group|payment_per_freq|freq_per_tenure,0.4962,0.4962
112,((interaction_per_freq * tenure) - frequent),interaction_per_freq|tenure|frequent,0.4959,0.4959
