trial,formula,used_features,f1_macro,metric
0,baseline_dataset,,0.5001,0.5001
1,(log(after_interaction) * renewal_pressure),after_interaction|vip_low_interaction|renewal_pressure,0.5001,0.5001
2,(freq(subscription_type) * test_2),subscription_type|test_2,0.4981,0.4981
3,((((frequent - interaction_per_freq) - payment_interval))^2)^2,frequent|interaction_per_freq|payment_interval|interaction_rate|contract_ratio,0.4975,0.4975
4,(freq(gender) - new_inactive),gender|new_inactive,0.4979,0.4979
5,(freq(subscription_type) + older_low_contract),subscription_type|older_low_contract,0.4991,0.4991
6,((after_interaction - interaction_per_freq) / usage_cluster),after_interaction|interaction_per_freq|usage_cluster,0.4984,0.4984
7,(freq(subscription_type) + after_interaction),subscription_type|after_interaction,0.4989,0.4989
8,(sqrt(log(sqrt(payment_per_freq))) + interaction_rate),payment_per_freq|tenure|contract_ratio|freq_per_tenure|interaction_rate,0.4985,0.4985
9,(log((log(payment_interval) * usage_cluster)) + gender_age_group),payment_interval|older_low_contract|usage_cluster|renewal_pressure|gender_age_group,0.4972,0.4972
10,(freq(gender) / gender_age_group),gender|gender_age_group,0.5001,0.5001
11,log(frequent),frequent|renewal_pressure,0.5001,0.5001
12,((is_high_interaction)^2 * vip_low_interaction),is_high_interaction|renewal_pressure|vip_low_interaction,0.5001,0.5001
13,(payment_interval + interaction_rate),payment_interval|interaction_rate,0.4985,0.4985
14,(((frequent * age))^2 - contract_ratio),frequent|age|renewal_pressure|contract_ratio,0.4995,0.4995
15,(sqrt((vip_low_interaction / after_interaction)) + gender_age_group),vip_low_interaction|after_interaction|contract_length|gender_age_group,0.4971,0.4971
16,(log(payment_interval) + interaction_rate),payment_interval|contract_length|interaction_rate,0.5001,0.5001
17,(freq(gender) / test_1),gender|test_1,0.4960,0.4960
18,(is_high_interaction * usage_cluster),is_high_interaction|usage_cluster,0.5001,0.5001
19,(((test_1 + is_older_group) * contract_length) / usage_cluster),test_1|is_older_group|contract_length|usage_cluster,0.5001,0.5001
20,(freq(gender) - payment_interval),gender|payment_interval,0.4949,0.4949
22,(freq(gender) / interaction_per_freq),gender|interaction_per_freq,0.4984,0.4984
23,(freq(gender) * payment_per_freq),gender|payment_per_freq,0.4987,0.4987
24,(freq(subscription_type) / renewal_pressure),subscription_type|renewal_pressure,0.5001,0.5001
25,(freq(gender) / frequent),gender|frequent,0.4992,0.4992
26,(freq(gender) * gender_age_group),gender|gender_age_group,0.5001,0.5001
27,(freq(subscription_type) - contract_ratio),subscription_type|contract_ratio,0.4982,0.4982
28,log(sqrt(age)),age|is_high_interaction|contract_length,0.5001,0.5001
29,(freq(gender) + interaction_rate),gender|interaction_rate,0.4965,0.4965
30,(((test_2 / older_low_contract) + age) * renewal_pressure),test_2|older_low_contract|age|renewal_pressure,0.5001,0.5001
31,log(is_high_interaction),is_high_interaction|after_interaction,0.5001,0.5001
32,log(test_1),test_1|contract_ratio,0.5001,0.5001
33,log(contract_ratio),contract_ratio|test_2,0.5001,0.5001
34,sqrt((contract_length)^2),contract_length|payment_interval|contract_ratio,0.5001,0.5001
35,log(vip_low_interaction),vip_low_interaction|payment_interval,0.5001,0.5001
36,(log(is_older_group))^2,is_older_group|test_1|frequent,0.5001,0.5001
37,(freq(gender) / vip_low_interaction),gender|vip_low_interaction,0.5001,0.5001
39,(freq(subscription_type) / usage_cluster),subscription_type|usage_cluster,0.4995,0.4995
40,((test_2 * older_low_contract) / is_older_group),test_2|older_low_contract|is_older_group,0.5001,0.5001
41,((tenure)^2 * renewal_pressure),tenure|gender_age_group|renewal_pressure,0.4995,0.4995
42,((age)^2 * interaction_rate),age|new_inactive|interaction_rate,0.5001,0.5001
43,log(((is_older_group)^2 * contract_length)),is_older_group|interaction_per_freq|contract_length|after_interaction,0.5001,0.5001
44,((older_low_contract)^2 - contract_ratio),older_low_contract|is_older_group|contract_ratio,0.5001,0.5001
45,(payment_interval / test_1),payment_interval|test_1,0.4988,0.4988
46,((after_interaction - is_older_group) * test_2),after_interaction|is_older_group|test_2,0.4980,0.4980
47,sqrt(((payment_interval + contract_ratio) * gender_age_group)),payment_interval|contract_ratio|gender_age_group|new_inactive,0.4988,0.4988
48,sqrt(age),age|test_1,0.5001,0.5001
49,(freq(gender) * tenure),gender|tenure,0.4999,0.4999
50,((after_interaction - usage_cluster) * older_low_contract),after_interaction|usage_cluster|older_low_contract,0.5001,0.5001
51,(log(vip_low_interaction) + age),vip_low_interaction|is_older_group|age,0.4996,0.4996
52,(log(payment_per_freq) + renewal_pressure),payment_per_freq|is_older_group|renewal_pressure,0.5001,0.5001
53,(((log(payment_per_freq) + freq_per_tenure))^2 * test_2),payment_per_freq|new_inactive|freq_per_tenure|test_1|test_2,0.4971,0.4971
54,(log(usage_cluster) + vip_low_interaction),usage_cluster|is_older_group|vip_low_interaction,0.4989,0.4989
55,(freq(gender) + is_older_group),gender|is_older_group,0.5001,0.5001
56,((log(contract_ratio) / gender_age_group) / payment_interval),contract_ratio|freq_per_tenure|gender_age_group|payment_interval,0.4979,0.4979
57,sqrt((tenure)^2),tenure|test_2|is_older_group,0.5001,0.5001
58,(freq(subscription_type) - is_high_interaction),subscription_type|is_high_interaction,0.4978,0.4978
59,(vip_low_interaction - after_interaction),vip_low_interaction|after_interaction,0.5001,0.5001
60,(freq(gender) / age),gender|age,0.5001,0.5001
61,(test_2 * payment_interval),test_2|payment_interval,0.5001,0.5001
62,(age * is_older_group),age|is_older_group,0.5001,0.5001
63,(contract_ratio * test_1),contract_ratio|test_1,0.5001,0.5001
64,log((older_low_contract * new_inactive)),older_low_contract|new_inactive|contract_length,0.5001,0.5001
65,sqrt(is_high_interaction),is_high_interaction|gender_age_group,0.5001,0.5001
66,(((test_2 + interaction_rate) - is_high_interaction) * interaction_per_freq),test_2|interaction_rate|is_high_interaction|interaction_per_freq,0.4995,0.4995
67,(freq(subscription_type) / freq_per_tenure),subscription_type|freq_per_tenure,0.4988,0.4988
68,(contract_length / payment_per_freq),contract_length|payment_per_freq,0.4984,0.4984
69,(((log(age))^2 - is_high_interaction) - test_1),age|interaction_rate|usage_cluster|is_high_interaction|test_1,0.4979,0.4979
70,(freq(gender) - contract_length),gender|contract_length,0.5001,0.5001
71,(((contract_ratio + is_older_group) * payment_interval) / interaction_per_freq),contract_ratio|is_older_group|payment_interval|interaction_per_freq,0.5001,0.5001
72,(((freq_per_tenure + frequent) * usage_cluster) / is_high_interaction),freq_per_tenure|frequent|usage_cluster|is_high_interaction,0.5001,0.5001
73,(((test_1 + new_inactive) * tenure) + frequent),test_1|new_inactive|tenure|frequent,0.5001,0.5001
74,(log(payment_interval) * contract_ratio),payment_interval|age|contract_ratio,0.5001,0.5001
75,((tenure * renewal_pressure) - frequent),tenure|renewal_pressure|frequent,0.5000,0.5000
76,((log(after_interaction) * interaction_per_freq) / test_1),after_interaction|renewal_pressure|interaction_per_freq|test_1,0.4990,0.4990
77,(usage_cluster)^2,usage_cluster|tenure,0.5001,0.5001
79,log((is_older_group + after_interaction)),is_older_group|after_interaction|is_high_interaction,0.4988,0.4988
80,log(((sqrt(is_high_interaction) + age) / frequent)),is_high_interaction|contract_ratio|age|frequent|renewal_pressure,0.4987,0.4987
84,(freq(subscription_type) / contract_ratio),subscription_type|contract_ratio,0.5001,0.5001
85,(freq(subscription_type) / test_2),subscription_type|test_2,0.5001,0.5001
86,(freq(subscription_type) + contract_length),subscription_type|contract_length,0.4997,0.4997
87,log((log(gender_age_group) / test_2)),gender_age_group|tenure|test_2|new_inactive,0.5001,0.5001
88,((is_older_group / payment_interval))^2,is_older_group|payment_interval|payment_per_freq,0.4949,0.4949
89,(freq(subscription_type) * usage_cluster),subscription_type|usage_cluster,0.4985,0.4985
90,(payment_per_freq)^2,payment_per_freq|test_1,0.5001,0.5001
