trial,features,formula,f1_class0,f1_class1,f1_class2,f1_macro
0,gender;contract_ratio,(freq(gender) / contract_ratio),0.6414547371195151,0.01875732708089097,0.3922597572974746,0.3508239404992935
1,older_low_contract;payment_interval,(older_low_contract / payment_interval),0.6350688210652304,0.0,0.2463519313304721,0.2938069174652342
2,subscription_type;usage_cluster,(freq(subscription_type) * usage_cluster),0.633303808680248,0.0,0.0,0.21110126956008268
3,gender;contract_length,(freq(gender) / contract_length),0.6409694469511409,0.0,0.366120218579235,0.3356965551767919
4,payment_freq_alignment;age;after_interaction;older_low_contract,(((payment_freq_alignment)^2 - after_interaction))^2,0.633303808680248,0.0,0.0,0.21110126956008268
5,subscription_type;new_inactive,(freq(subscription_type) - new_inactive),0.633303808680248,0.0,0.0,0.21110126956008268
6,subscription_type;vip_low_interaction,(freq(subscription_type) * vip_low_interaction),0.633303808680248,0.0,0.0,0.21110126956008268
7,freq_per_tenure;is_long_contract,(freq_per_tenure + is_long_contract),0.6384356706937352,0.01301775147928994,0.32,0.32381780739100835
8,older_and_member;is_high_interaction;gender_age_group,((older_and_member / is_high_interaction) - gender_age_group),0.633303808680248,0.0,0.0,0.21110126956008268
9,subscription_type;is_low_frequency,(freq(subscription_type) - is_low_frequency),0.633303808680248,0.0,0.0,0.21110126956008268
10,gender;contract_ratio,(freq(gender) + contract_ratio),0.6412915080719255,0.01875732708089097,0.3882080158993044,0.34941895035070697
11,gender;contract_ratio,(freq(gender) + contract_ratio),0.6412915080719255,0.01875732708089097,0.3882080158993044,0.34941895035070697
12,gender;contract_ratio,(freq(gender) / contract_ratio),0.6414547371195151,0.01875732708089097,0.3922597572974746,0.3508239404992935
13,gender;payment_per_freq,(freq(gender) / payment_per_freq),0.6189620040752727,0.02662037037037037,0.1847778266608007,0.2767867337021479
14,gender;subscription_code,(freq(gender) / subscription_code),0.633303808680248,0.0,0.0,0.21110126956008268
15,gender;tenure,(freq(gender) / tenure),0.6311051091604771,0.0,0.054474708171206226,0.2285266057772278
16,gender;is_high_payment_interval,(freq(gender) / is_high_payment_interval),0.606919095614274,0.0,0.36972778941070894,0.3255489616749943
17,gender;interaction_per_freq,(freq(gender) / interaction_per_freq),0.6269694161260426,0.010619469026548672,0.11403073872087258,0.25053987462448796
18,gender_age_group;contract_ratio;is_long_contract;payment_interval;interaction_rate,sqrt(sqrt(((gender_age_group * contract_ratio) * is_long_contract))),0.629434492448191,0.06608884073672806,0.13796627491057742,0.2778298693651655
19,gender;age,(freq(gender) / age),0.6386856629444231,0.03745743473325766,0.35757792905768543,0.3445736755784554
20,gender;age,(freq(gender) / age),0.6386856629444231,0.03745743473325766,0.35757792905768543,0.3445736755784554
21,gender;age,(freq(gender) / age),0.6386856629444231,0.03745743473325766,0.35757792905768543,0.3445736755784554
22,gender;age,(freq(gender) / age),0.6386856629444231,0.03745743473325766,0.35757792905768543,0.3445736755784554
23,gender;age,(freq(gender) / age),0.6386856629444231,0.03745743473325766,0.35757792905768543,0.3445736755784554
24,gender;age,(freq(gender) - age),0.6386856629444231,0.03745743473325766,0.35757792905768543,0.3445736755784554
25,gender;older_and_member,(freq(gender) + older_and_member),0.6307530155755944,0.0,0.16216216216216217,0.26430505924591885
26,age;vip_inactive;usage_cluster;interaction_per_freq;payment_freq_alignment,(log(((age - vip_inactive) + usage_cluster)) / payment_freq_alignment),0.632258064516129,0.0059382422802850355,0.07780821917808219,0.2386681753248321
27,gender;age,(freq(gender) * age),0.6386856629444231,0.03745743473325766,0.35757792905768543,0.3445736755784554
28,gender;after_interaction,(freq(gender) / after_interaction),0.6374133949191686,0.0,0.27339300244100895,0.3036021324533925
29,subscription_type;is_older_group,(freq(subscription_type) / is_older_group),0.633303808680248,0.0,0.0,0.21110126956008268
30,gender;frequent,(freq(gender) / frequent),0.6302812955284097,0.0,0.04880817253121453,0.22636315601987475
31,gender;age,(freq(gender) / age),0.6386856629444231,0.03745743473325766,0.35757792905768543,0.3445736755784554
32,gender;vip_inactive,(freq(gender) / vip_inactive),0.633303808680248,0.0,0.0,0.21110126956008268
33,gender;older_low_contract,(freq(gender) / older_low_contract),0.6369656833232992,0.0,0.26134453781512607,0.2994367403794751
34,gender;is_high_interaction,(freq(gender) / is_high_interaction),0.6355650522317189,0.0,0.23175586023883238,0.28910697082351705
35,freq_per_tenure;is_high_interaction;vip_inactive,(sqrt(freq_per_tenure))^2,0.6251982778155449,0.03540833809251856,0.03395585738539898,0.23152082443115415
36,gender;is_long_contract,(freq(gender) / is_long_contract),0.6409694469511409,0.0,0.366120218579235,0.3356965551767919
37,gender;interaction_rate,(freq(gender) / interaction_rate),0.626486360456983,0.010520163646990065,0.13527980535279804,0.25742877648559037
38,age;vip_low_interaction;is_high_interaction;older_low_contract,(log(log(age)) + older_low_contract),0.6462916611777104,0.0,0.4059469941822883,0.3507462184533329
39,gender;short_tenure_high_interval,(freq(gender) - short_tenure_high_interval),0.635075388277973,0.0,0.10193133047210301,0.24566890625002535
40,subscription_type;freq_per_tenure,(freq(subscription_type) * freq_per_tenure),0.6287640449438202,0.016412661195779603,0.02991944764096663,0.2250320512601888
41,gender;age,(freq(gender) / age),0.6386856629444231,0.03745743473325766,0.35757792905768543,0.3445736755784554
42,gender;age,(freq(gender) / age),0.6386856629444231,0.03745743473325766,0.35757792905768543,0.3445736755784554
43,gender;payment_interval,(freq(gender) / payment_interval),0.6359979889391654,0.0,0.3371198241113961,0.32437260435018717
44,gender;renewal_pressure,(freq(gender) / renewal_pressure),0.6335662621061665,0.016269610691458453,0.2725060827250608,0.30744731850756196
45,subscription_type;payment_freq_alignment,(freq(subscription_type) * payment_freq_alignment),0.633303808680248,0.0,0.0,0.21110126956008268
46,is_high_payment_interval;older_low_contract;gender_age_group;payment_per_freq;is_long_contract,((((is_high_payment_interval - older_low_contract) / gender_age_group) * payment_per_freq) * is_long_contract),0.6252354048964218,0.04194260485651214,0.137524557956778,0.26823418923657066
47,gender;gender_age_group,(freq(gender) + gender_age_group),0.633303808680248,0.0,0.0,0.21110126956008268
48,subscription_type;age,(freq(subscription_type) / age),0.6416347381864623,0.02868617326448652,0.3551064597618188,0.34180912373758926
49,gender;contract_length,(freq(gender) - contract_length),0.6409694469511409,0.0,0.366120218579235,0.3356965551767919
50,gender;age,(freq(gender) / age),0.6386856629444231,0.03745743473325766,0.35757792905768543,0.3445736755784554
51,gender;age,(freq(gender) - age),0.6386856629444231,0.03745743473325766,0.35757792905768543,0.3445736755784554
52,gender;usage_cluster,(freq(gender) - usage_cluster),0.6351285783600195,0.0,0.26382630069643587,0.29965162635215176
53,gender;new_inactive,(freq(gender) - new_inactive),0.633303808680248,0.0,0.0,0.21110126956008268
54,gender;age,(freq(gender) - age),0.6386856629444231,0.03745743473325766,0.35757792905768543,0.3445736755784554
55,gender;vip_low_interaction,(freq(gender) + vip_low_interaction),0.633303808680248,0.0,0.0,0.21110126956008268
56,gender;age,(freq(gender) / age),0.6386856629444231,0.03745743473325766,0.35757792905768543,0.3445736755784554
57,payment_freq_alignment;after_interaction;contract_length,sqrt((payment_freq_alignment + after_interaction)),0.633303808680248,0.0,0.0,0.21110126956008268
58,gender;age,(freq(gender) - age),0.6386856629444231,0.03745743473325766,0.35757792905768543,0.3445736755784554
59,gender;tenure,(freq(gender) / tenure),0.6311051091604771,0.0,0.054474708171206226,0.2285266057772278
60,subscription_type;payment_per_freq,(freq(subscription_type) * payment_per_freq),0.6247002398081535,0.03459821428571429,0.17811934900542495,0.2791392676997642
